country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Honduras,,,,,,,,,,,48.2,45.5,40.8,41.4,42.8,43.5,43.8,43.7,41.4,44.6,41.9,,41.6,42.7,45.1,44.9,46.1,44,43.1,43,38.4,40.2,44.3,44.1,40.2,38.1,37,36.8,
Hungary,,,,,,,,,19,,21.6,,,,24.2,,,,,,,,,,,24.2,28,22.8,22.3,22,21.5,23.1,23.1,23.9,24.4,24,23.8,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,22.6,23.7,24.3,25.4,24.8,27,24,22,22.1,22.1,21.3,23.5,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,
Iran,,,,,,,,36.9,,,,33.5,,,,33.3,,,,33.7,,,,,,,33.3,34,,,31.3,,,,29,29.8,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,23.7,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,25.9,26.6,26.9,25.6,25.5,24.5,25.5,24.9,25.5,25.9,26,24.9,25.4,,
Israel,26.9,,,,,,,26.9,,,,,,26.9,,,,,28.2,,,,28.7,,,,29.9,,29.4,,,31.1,,29.6,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,26.7,26.3,25.5,25.6,24.9,25.6,25.4,26.1,26.4,26.4,25.9,25.5,25.7,,
Jamaica,,,,,,,,,,33.7,,32.1,,,27.4,,,32.7,,,35,,,38,,35.8,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,,,,,
Jordan,,,,,,,,28.1,,,,,,35,,,,,29.8,,,,,29.5,,,,27.5,,26.6,,27.5,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,26.3,,,,,27.2,26.8,25.9,25.2,29.7,24.9,24.6,23.6,23.1,23.1,23,22.9,22.5,22.6,22.6,,
