country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Niger,,,,,,,,,,,,,,3,,2.4,,,,,,,,,,,2.3,,3.2,,,,3.8,,,3.2,,,
Nigeria,,,,,,,2.5,,,,,,,1.3,,,,1.3,,,,,,,2.1,,,,,,2,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.5,3.5,3.5,3.7,3.5,3.7,3.8,3.9,3.8,3.7,3.5,3.5,,
Pakistan,,,,,,,,,3.5,,,3.4,,,,,,4.4,,3.7,,,4.1,,,3.8,3.9,,4,,,4.2,4.1,,4,,3.9,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.9,3.2,2.8,,3.2,3.1,3.1,,,,,2.9,
Panama,1.5,,,,,,,,,,,,0.1,,,,0.1,,0.3,0.2,0.3,0.5,0.5,0.8,0.7,0.8,0.8,0.7,1,0.9,1.2,1.1,1.1,1,1.1,1,1.1,1.1,
Papua New Guinea,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1.9,,,,,,,,
Paraguay,,,,,,,,,,,,2.2,,,,,0.7,,0.7,,0.9,,1,1,1.2,1.4,1.3,1.3,1.2,1.5,1.4,1.3,1.2,1.5,1.6,1.4,1.6,1.6,
Peru,,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,1.2,1.1,1.1,1.3,1.3,1.2,1.2,1.2,1.3,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.6,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.4,2.5,2.5,2.7,2.6,2.7,2.7,2.5,2.2,2.1,2.3,2.4,,
Romania,,,,,,,,,,,4.1,,,3.8,,3.7,,,,,,,,,,,,1.7,1.9,1.9,2.1,1.9,1.8,1.7,1.6,1.5,1.7,,
Russia,,,,,,,,,,,,,,,1.7,,,1.6,2.4,2.4,2.4,2.5,2.6,2.6,2.4,2.3,2.3,2.3,2.3,2.4,2.6,2.5,2.6,2.5,2.6,2.6,2.8,,
Rwanda,,,,,,4.4,,,,,,,,,,,,,,,,2,,,,,1.7,,,,,2.3,,,2.4,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,3.5,,,,,,,
Senegal,,,,,,,,,,,,,1.4,,,2.6,,,,,,,2.7,,,,2.4,,,,,,2.3,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,3.3,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,3.1,,,,,,,,3.4,3.4,3.6,3.6,3.4,3.2,3.1,3.2,3.1,3,2.9,3.1,,
Slovenia,,,,,,,,,,,,,,,4,,,,,,,,,,,4,4,4.1,4.1,4.2,4,3.9,3.9,3.7,3.6,3.8,3.9,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,2.8,,,,
South Africa,,,,,,,,,,,,,,,1.3,,,1,,,,1.3,,,,,1,,,1,,0.9,,,,0.9,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.6,,2.6,,2.6,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.5,2.5,2.3,2.4,2.3,2.1,2.1,1.9,2,1.9,1.8,1.9,,
Sri Lanka,,,,,,,3.6,,,,,3.7,,,,,3.4,,,,,,,2.9,,,,2.9,,,3.2,,,3,,,,2.9,
St. Lucia,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,0.9,,,,,,1.8,,,,,,,,,1.5,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.7,3.2,3.6,3.4,3.2,3.2,3.2,3.1,3.1,2.9,3.1,3,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,3,3.1,3.1,3.2,3.3,3.3,3.2,3.2,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,3.3,,,,3.3,3.2,,,2.6,,3.4,,,,,,3,,
Tanzania,,,,,,,,,,,,,2.7,,,,,,,,,2.7,,,,,,,2.5,,,,3.1,,,,,,
Thailand,,,2.3,,,,,,,2.7,,2.4,,2.2,,2.5,,2.6,,2.7,2.5,2.6,,2.6,,2.5,,2.5,2.7,2.7,2.7,2.7,3,2.8,2.9,3,3.2,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,4.1,,,,,,,4,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,1.9,,,,1.9,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,2.7,,,,,,,,
Trinidad and Tobago,,,,,,,,,,1.9,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,2.3,,,,,2.3,,,,,2.3,,,,,2.4,,,,,2.5,,,,,2.6,,,,,,,
Turkey,,,,,,,,,2.4,,,,,,,2.3,,,,,,,,2.3,2.1,2,1.9,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.2,
Turkmenistan,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,
Uganda,,,,,,,,,,,1.9,,,2.4,,,,2.8,,,2.3,,,2.4,,,2.4,,,,2.3,,,2.5,,,,2.5,
Ukraine,,,,,,,,,,,,,,3.1,3.6,,2.4,2.8,,,,,,3.6,3.8,3.6,3.7,3.7,4,4.1,4.3,4.4,4.4,4.4,4.4,4.5,4.2,4.3,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.6,2.7,2.7,2.8,2.8,2.9,2.9,3.1,2.9,2.9,2.9,,
United States,2.3,,,,,,,1.9,,,,,1.9,,,1.8,,,1.8,,,1.9,,,,1.7,,,1.7,,,1.7,,,1.7,,,1.7,
Uruguay,,,1.9,,,,,,,,1.9,,,,,,,,,,,,,,,,,1.9,1.9,2,1.9,2,2.1,2.1,2.1,2.1,2.1,2.2,
Uzbekistan,,,,,,,,,,,,,,,,,,,,1.1,,2.7,,3.3,2.9,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,
Venezuela,,,1.2,,,,,,1.3,,0.8,,,1.5,,,1.1,,,0.5,0.9,,0.9,0.4,0.2,0.2,,0.5,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,3.3,,,,,,3.3,,,,3.2,,2.9,,2.9,,3,,2.5,,2.8,,2.7,,2.6,
Yemen,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,3.3,,,,,,,,,3,,,
Zambia,,,,,,,,,,,,,0.2,,1.1,,,1.7,,1.6,,,,2.4,,1.3,,1.3,,,,1.5,,,,,1,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,
